CSE 90,Lec,W,5:00pm,7:50pm,,36200,,
CSE 70A,Lec,TuTh,8:00,9:20,3/21/17 8:00-10:00am,36170,,
CSE 70A,Dis,Tu,7:00pm,7:50pm,,36171,,
CSE 70A,Dis,Tu,11:00,11:50,,36172,,
CSE 70A,Dis,Tu,12:00pm,12:50pm,,36173,,
CSE 70A,Dis,Tu,5:00pm,5:50pm,,36174,,
CSE 70A,Dis,Tu,6:00pm,6:50pm,,36175,,
CSE 70A,Dis,Tu,1:00pm,1:50pm,,36176,,
Math 3D,Lec,MWF,10:00,10:50,3/20/17 10:30-12:30pm,44620,,
Math 3D,Dis,TuTh,10:00,10:50,,44621,,
Math 3D,Dis,TuTh,1:00pm,1:50pm,,44622,,
Math 3D,Lec,MWF,3:00pm,3:50pm,3/20/17 4:00-6:00pm,44640,,
Math 3D,Dis,TuTh,10:00,10:50,,44641,,
Math 3D,Dis,TuTh,8:00,8:50,,44642,,
Math 3D,Lec,MWF,4:00pm,4:50pm,3/20/17 4:00-6:00pm,44650,,
Math 3D,Dis,TuTh,8:00,8:50,,44651,,
Math 3D,Dis,TuTh,10:00,10:50,,44652,,
Math 3D,Lec,MWF,10:00,10:50,3/20/17 10:30-12:30pm,44660,,
Math 3D,Dis,TuTh,4:00pm,4:50pm,,44661,,